geoid,2000_2006,2007_2024,2010_2015
010010201001,0,0,0
010010201002,2,7,0
010010202001,0,2,0
010010202002,0,8,1
010010203001,0,3,0
010010203002,0,4,0
010010204001,0,0,0
010010204002,0,0,0
010010204003,0,1,
010010204004,0,0,0
010010205001,0,5,2
010010205002,0,3,0
010010205003,0,3,1
010010206001,0,2,1
010010206002,0,1,0
010010207001,1,2,0
010010207002,1,2,0
010010208011,0,1,0
010010208012,0,1,1
010010208021,0,2,1
010010208022,0,1,0
010010208023,0,2,0
010010208024,0,2,0
010010209001,0,3,0
010010209002,0,1,0
010010209003,2,4,1
010010209004,0,0,0
010010210001,0,6,2
010010210002,0,1,0
010010211001,0,3,1
010010211002,0,4,0
010010211003,0,6,1
010030101001,0,5,0
010030101002,1,6,1
010030101003,0,1,0
010030102001,0,2,0
010030102002,0,0,0
010030103001,0,1,0
010030103002,1,3,0
010030103003,1,1,0
010030104001,0,1,0
010030104002,,1,0
010030104003,0,8,1
010030105001,0,6,1
010030105002,0,1,0
010030105003,1,0,0
010030105004,0,,
010030106001,4,12,3
010030106002,0,2,1
010030106003,0,1,0
010030107011,0,3,1
010030107012,0,3,0
010030107013,1,3,1
010030107014,0,0,0
010030107031,2,20,5
010030107032,0,5,1
010030107041,0,0,0
010030107042,,0,0
010030107051,0,6,1
010030107053,0,1,0
010030108001,1,5,0
010030108002,0,4,1
010030108003,0,0,0
010030109031,,0,0
010030109032,2,10,2
010030109033,,0,1
010030109041,4,11,2
010030109042,1,1,0
010030109043,1,2,1
010030109051,0,1,0
010030109052,0,9,3
010030109053,0,0,0
010030109061,0,3,0
010030109062,0,2,0
010030110001,0,4,1
010030110002,1,2,0
010030111011,0,2,0
010030111013,0,2,0
010030111021,0,1,0
010030111022,0,9,2
010030112011,0,1,0
010030112012,0,2,0
010030112021,1,6,1
010030112022,,2,0
010030112023,1,1,0
010030112024,0,1,0
010030113002,,0,
010030113004,0,1,1
010030114011,0,4,0
010030114012,0,2,0
010030114013,0,1,0
010030114014,1,4,0
010030114031,0,3,0
010030114032,,0,0
010030114033,0,5,1
010030114051,0,6,0
010030114052,,2,0
010030114061,0,1,0
010030114062,0,2,0
010030114063,,1,0
010030114071,0,2,0
010030114072,1,3,0
010030114073,1,1,0
010030114081,0,,
010030115011,0,0,0
010030115012,0,6,0
010030115013,0,3,2
010030115021,6,17,3
010030115022,1,2,0
010030115023,0,4,0
010030115024,,1,1
010030116011,0,0,0
010030116012,0,6,3
010030116013,0,,
010030116021,1,4,0
010030116022,0,1,0
010030116023,,1,0
010030116024,3,3,0
010059501001,0,1,0
010059501002,0,2,2
010059501003,1,2,1
010059502001,0,1,0
010059502002,0,3,1
010059502003,2,7,1
010059503001,6,7,0
010059503002,0,2,0
010059504001,0,6,0
010059504002,3,8,1
010059504003,0,5,2
010059505001,,1,0
010059505002,1,0,0
010059505003,0,1,0
010059506001,1,1,0
010059506002,0,3,1
010059507001,1,11,2
010059507002,2,4,0
010059508001,0,4,1
010059508002,1,1,0
010059509001,0,4,1
010059509002,0,3,0
010059509003,0,2,0
010070100011,0,1,0
010070100012,0,3,0
010070100021,0,6,2
010070100022,0,1,0
010070100023,0,3,0
010070100031,0,1,0
010070100032,0,0,0
010070100033,1,14,1
010070100034,0,3,3
010070100041,1,0,0
010070100042,0,3,1
010070100043,,0,0
010070100044,2,6,0
010070100045,0,1,0
010070100046,0,4,1
010090501011,0,2,0
010090501012,0,1,0
010090501013,0,4,1
010090501014,,0,0
010090501015,0,5,0
010090501021,0,13,0
010090501022,0,0,0
010090501023,0,5,3
010090501024,3,5,1
010090502001,0,2,0
010090502002,0,5,0
010090503001,0,4,1
010090503002,0,5,1
010090503003,1,2,0
010090503004,0,1,0
010090504001,0,1,0
010090504002,0,1,
010090504003,0,0,0
010090505001,0,14,2
010090505002,0,3,0
010090505004,1,0,
010090505005,0,1,0
010090506011,2,5,3
010090506012,0,1,0
010090506022,0,7,0
010090506023,1,1,1
010090506024,0,6,0
010090506025,,2,0
010090507001,2,7,2
010090507002,1,1,0
010090507003,0,3,1
