geoid,boundaryYear,window,religion,closed,per10k,nOpen
01,2010,2000_2006,all_religions,1566,0.7056,190177.0
02,2010,2000_2006,all_religions,109,0.7382,12136.0
04,2010,2000_2006,all_religions,732,0.8474,32030.0
05,2010,2000_2006,all_religions,859,0.6993,108906.0
06,2010,2000_2006,all_religions,5869,0.868,256408.0
08,2010,2000_2006,all_religions,829,0.9533,39607.0
09,2010,2000_2006,all_religions,732,0.9223,37889.0
10,2010,2000_2006,all_religions,170,0.5134,29204.0
11,2010,2000_2006,all_religions,263,0.9065,21145.0
12,2010,2000_2006,all_religions,3584,0.708,266826.0
13,2010,2000_2006,all_religions,2169,0.5687,269078.0
15,2010,2000_2006,all_religions,200,0.7716,13433.0
16,2010,2000_2006,all_religions,276,0.6641,20779.0
17,2010,2000_2006,all_religions,3185,1.0429,168196.0
18,2010,2000_2006,all_religions,1942,0.9463,114677.0
19,2010,2000_2006,all_religions,727,0.8676,45816.0
20,2010,2000_2006,all_religions,714,0.8968,50159.0
21,2010,2000_2006,all_religions,995,0.7376,99844.0
22,2010,2000_2006,all_religions,1226,0.8143,148057.0
23,2010,2000_2006,all_religions,191,0.7827,12703.0
24,2010,2000_2006,all_religions,1580,1.0178,75606.0
25,2010,2000_2006,all_religions,701,0.8103,30298.0
26,2010,2000_2006,all_religions,2248,1.0003,117883.0
27,2010,2000_2006,all_religions,925,0.7997,51378.0
28,2010,2000_2006,all_religions,1036,0.6986,178066.0
29,2010,2000_2006,all_religions,1738,0.9001,126767.0
30,2010,2000_2006,all_religions,217,1.0793,13144.0
31,2010,2000_2006,all_religions,336,0.8643,22233.0
32,2010,2000_2006,all_religions,351,1.1379,14712.0
33,2010,2000_2006,all_religions,143,0.7406,7213.0
34,2010,2000_2006,all_religions,2260,1.0572,106874.0
35,2010,2000_2006,all_religions,347,1.0237,18840.0
36,2010,2000_2006,all_religions,5966,1.1728,430214.0
37,2010,2000_2006,all_religions,2630,0.6641,366583.0
38,2010,2000_2006,all_religions,157,0.9297,9321.0
39,2010,2000_2006,all_religions,5710,1.3335,270140.0
40,2010,2000_2006,all_religions,1056,0.9264,97253.0
41,2010,2000_2006,all_religions,523,0.7301,29531.0
