NEW_FIPS_Code,New_County_Equivalent_Name,Previous_FIPS_Code,Previous_FIPS_County
09110,Capitol Planning Region,9013,Tolland County
09140,Naugatuck Valley Planning Region,9009,New Haven County
09150,Northeastern Connecticut Planning Region,9015,Windham County
09110,Capitol Planning Region,9003,Hartford County
09160,Northwest Hills Planning Region,9005,Litchfield County
09140,Naugatuck Valley Planning Region,9009,New Haven County
09110,Capitol Planning Region,9003,Hartford County
09170,South Central Connecticut Planning Region,9009,New Haven County
09190,Western Connecticut Planning Region,9001,Fairfield County
09140,Naugatuck Valley Planning Region,9005,Litchfield County
09110,Capitol Planning Region,9003,Hartford County
09110,Capitol Planning Region,9013,Tolland County
09180,Southeastern Connecticut Planning Region,9011,New London County
09170,South Central Connecticut Planning Region,9009,New Haven County
09120,Greater Bridgeport Planning Region,9001,Fairfield County
09190,Western Connecticut Planning Region,9005,Litchfield County
09140,Naugatuck Valley Planning Region,9003,Hartford County
09190,Western Connecticut Planning Region,9001,Fairfield County
09150,Northeastern Connecticut Planning Region,9015,Windham County
09160,Northwest Hills Planning Region,9003,Hartford County
09160,Northwest Hills Planning Region,9005,Litchfield County
09150,Northeastern Connecticut Planning Region,9015,Windham County
09110,Capitol Planning Region,9003,Hartford County
09150,Northeastern Connecticut Planning Region,9015,Windham County
09140,Naugatuck Valley Planning Region,9009,New Haven County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09180,Southeastern Connecticut Planning Region,9011,New London County
09160,Northwest Hills Planning Region,9005,Litchfield County
09110,Capitol Planning Region,9013,Tolland County
09160,Northwest Hills Planning Region,9005,Litchfield County
09110,Capitol Planning Region,9013,Tolland County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09190,Western Connecticut Planning Region,9001,Fairfield County
09190,Western Connecticut Planning Region,9001,Fairfield County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09140,Naugatuck Valley Planning Region,9009,New Haven County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09150,Northeastern Connecticut Planning Region,9015,Windham County
09110,Capitol Planning Region,9003,Hartford County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09110,Capitol Planning Region,9003,Hartford County
09170,South Central Connecticut Planning Region,9009,New Haven County
09180,Southeastern Connecticut Planning Region,9011,New London County
09120,Greater Bridgeport Planning Region,9001,Fairfield County
09110,Capitol Planning Region,9003,Hartford County
09110,Capitol Planning Region,9013,Tolland County
09110,Capitol Planning Region,9003,Hartford County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09120,Greater Bridgeport Planning Region,9001,Fairfield County
09110,Capitol Planning Region,9003,Hartford County
09180,Southeastern Connecticut Planning Region,9011,New London County
09110,Capitol Planning Region,9003,Hartford County
09160,Northwest Hills Planning Region,9005,Litchfield County
09110,Capitol Planning Region,9003,Hartford County
09190,Western Connecticut Planning Region,9001,Fairfield County
09180,Southeastern Connecticut Planning Region,9011,New London County
09180,Southeastern Connecticut Planning Region,9011,New London County
09170,South Central Connecticut Planning Region,9009,New Haven County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09170,South Central Connecticut Planning Region,9009,New Haven County
09150,Northeastern Connecticut Planning Region,9015,Windham County
09110,Capitol Planning Region,9003,Hartford County
09160,Northwest Hills Planning Region,9003,Hartford County
09160,Northwest Hills Planning Region,9005,Litchfield County
09110,Capitol Planning Region,9013,Tolland County
09160,Northwest Hills Planning Region,9005,Litchfield County
09150,Northeastern Connecticut Planning Region,9015,Windham County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09180,Southeastern Connecticut Planning Region,9011,New London County
09180,Southeastern Connecticut Planning Region,9011,New London County
09180,Southeastern Connecticut Planning Region,9011,New London County
09160,Northwest Hills Planning Region,9005,Litchfield County
09130,Lower Connecticut River Valley Planning Region,9011,New London County
09170,South Central Connecticut Planning Region,9009,New Haven County
09110,Capitol Planning Region,9003,Hartford County
09110,Capitol Planning Region,9013,Tolland County
09110,Capitol Planning Region,9003,Hartford County
09170,South Central Connecticut Planning Region,9009,New Haven County
09140,Naugatuck Valley Planning Region,9009,New Haven County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09170,South Central Connecticut Planning Region,9009,New Haven County
09120,Greater Bridgeport Planning Region,9001,Fairfield County
09180,Southeastern Connecticut Planning Region,9011,New London County
09160,Northwest Hills Planning Region,9005,Litchfield County
09140,Naugatuck Valley Planning Region,9009,New Haven County
09110,Capitol Planning Region,9003,Hartford County
09190,Western Connecticut Planning Region,9001,Fairfield County
09190,Western Connecticut Planning Region,9001,Fairfield County
09160,Northwest Hills Planning Region,9005,Litchfield County
09170,South Central Connecticut Planning Region,9009,New Haven County
09110,Capitol Planning Region,9003,Hartford County
09180,Southeastern Connecticut Planning Region,9011,New London County
09190,Western Connecticut Planning Region,9005,Litchfield County
09190,Western Connecticut Planning Region,9001,Fairfield County
09160,Northwest Hills Planning Region,9005,Litchfield County
09170,South Central Connecticut Planning Region,9009,New Haven County
09160,Northwest Hills Planning Region,9005,Litchfield County
09170,South Central Connecticut Planning Region,9009,New Haven County
09180,Southeastern Connecticut Planning Region,9011,New London County
09190,Western Connecticut Planning Region,9001,Fairfield County
09180,Southeastern Connecticut Planning Region,9011,New London County
09130,Lower Connecticut River Valley Planning Region,9011,New London County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09170,South Central Connecticut Planning Region,9009,New Haven County
09140,Naugatuck Valley Planning Region,9009,New Haven County
09150,Northeastern Connecticut Planning Region,9015,Windham County
09110,Capitol Planning Region,9003,Hartford County
09140,Naugatuck Valley Planning Region,9005,Litchfield County
09150,Northeastern Connecticut Planning Region,9015,Windham County
09130,Lower Connecticut River Valley Planning Region,9007,Middlesex County
09180,Southeastern Connecticut Planning Region,9011,New London County
09140,Naugatuck Valley Planning Region,9009,New Haven County
09150,Northeastern Connecticut Planning Region,9015,Windham County
09190,Western Connecticut Planning Region,9001,Fairfield County
09190,Western Connecticut Planning Region,9001,Fairfield County
09110,Capitol Planning Region,9003,Hartford County
09160,Northwest Hills Planning Region,9005,Litchfield County
09180,Southeastern Connecticut Planning Region,9011,New London County
09160,Northwest Hills Planning Region,9005,Litchfield County
09150,Northeastern Connecticut Planning Region,9015,Windham County
09140,Naugatuck Valley Planning Region,9009,New Haven County
