GEOID,tarea,n_medincome,n_pop_total,n_pop_black,n_pop_hisp,p_pct_black,p_pct_hisp,p_renter,p_poverty,p_unemp,p_overcrowding,n_med_rent,p_mobility,n_pop_25,n_pop_65p,p_pct_65p,n_edu_yes_hs,n_edu_no_hs,p_edu_no_hs,spatial_level,n_commhlthcntr,r_commhlthcntr_100k,i_gini,d_pop_sqkm,close_4_0005,close_4_0010,close_4_0914,close_4_0514,close_4_0016,persistence_0005,persistence_0010,persistence_0914,persistence_0514,persistence_0016,close_4_0005_r_100k,close_4_0005_r_sqkm,close_4_0010_r_100k,close_4_0010_r_sqkm,close_4_0914_r_100k,close_4_0914_r_sqkm,close_4_0514_r_100k,close_4_0514_r_sqkm,close_4_0016_r_100k,close_4_0016_r_sqkm,persistence_0005_r_100k,persistence_0005_r_sqkm,persistence_0010_r_100k,persistence_0010_r_sqkm,persistence_0914_r_100k,persistence_0914_r_sqkm,persistence_0514_r_100k,persistence_0514_r_sqkm,persistence_0016_r_100k,persistence_0016_r_sqkm
02013,18214706339.6693,54375,1415,15,50,1.06007067137809,3.53356890459364,48.4629294755877,10.4194857916103,3.43972730089867,2.62172284644195,731,60.7007061379685,669,155,4.93473416109519,1935,1082,35.8634405038117,county2010,6,424.028268551237,0.399,0.0776844805297967,0,1,0,1,3,2,1,2,2,2,0,0,70.6713780918728,0.0000549006929539199,0,0,70.6713780918728,0.0000549006929539199,212.014134275618,0.00016470207886176,141.342756183746,0.00010980138590784,70.6713780918728,0.0000549006929539199,141.342756183746,0.00010980138590784,141.342756183746,0.00010980138590784,141.342756183746,0.00010980138590784
02016,11406703201.0805,72917,3018,24,203,0.795228628230616,6.72630881378396,67.7392739273927,12.5614035087719,1.90424374319913,9.78886756238004,1172,69.0231362467866,1241,193,3.4705988131631,3559,1499,29.636219849743,county2010,6,198.807157057654,0.381,0.264581268294429,2,4,1,2,4,5,5,5,5,5,66.2690523525514,0.00017533549920107,132.538104705103,0.00035067099840215,33.1345261762757,0.0000876677496005397,66.2690523525514,0.00017533549920107,132.538104705103,0.00035067099840215,165.672630881378,0.00043833874800269,165.672630881378,0.00043833874800269,165.672630881378,0.00043833874800269,165.672630881378,0.00043833874800269,165.672630881378,0.00043833874800269
28107,1826282563.21487,34030,34392,16686,413,48.5170969993022,1.20086066527099,26.2247838616715,29.0604200881667,12.080354102826,6.20689655172414,620,89.084146091439,12596,4411,12.709251735961,15981,6079,27.5566636446056,county2010,1,2.90765294254478,0.446,18.83169707291,20,52,88,109,139,124,113,78,79,77,58.1530588508956,0.0109512078814317,151.197953012328,0.0284731404917224,255.87345894394,0.0481853146782995,316.934170737381,0.0596840829538028,404.163759013724,0.0761108947759504,360.548964875552,0.0678974888648766,328.56478250756,0.0618743245300891,226.796929518493,0.0427097107375837,229.704582461038,0.0432572711316552,223.889276575948,0.0421621503435121
28101,1501162126.39031,36154,21120,6285,243,29.7585227272727,1.15056818181818,21.572924275627,16.9779450798707,6.13612565445026,3.51733633746401,537,86.4077669902913,7789,3233,14.8848987108656,11241,2581,18.6731297930835,county2010,1,4.73484848484848,0.407,14.0690999517721,29,44,37,46,76,65,59,57,57,52,137.310606060606,0.0193183664110507,208.333333333333,0.0293106248995252,175.189393939394,0.0246475709382371,217.80303030303,0.0306429260313218,359.848484848485,0.0506274430082708,307.765151515152,0.0432997867833895,279.356060606061,0.0393028833879997,269.886363636364,0.0379705822562031,269.886363636364,0.0379705822562031,246.212121212121,0.0346398294267116
28027,1510357779.74456,24726,25484,19237,285,75.4865798147857,1.11834876785434,44.477327978015,35.5336329702141,15.9693038552896,3.22960111218052,545,85.6595615565501,10518,3186,12.1830905127911,11733,4077,25.7874762808349,county2010,7,27.4682153508084,0.548,16.8728233414404,19,53,53,84,112,100,80,55,55,48,74.5565845236227,0.0125798007960825,207.973630513263,0.0350910232732829,207.973630513263,0.0350910232732829,329.6185842097,0.0556159614142596,439.491445612934,0.0741546152190128,392.403076440119,0.0662094778741186,313.922461152095,0.0529675822992949,215.821692042066,0.0364152128307652,215.821692042066,0.0364152128307652,188.353476691257,0.0317805493795769
22065,1685822355.41031,26441,10502,6281,143,59.8076556846315,1.36164540087602,38.6086956521739,33.5547852878875,13.6270257931979,4.98363956707778,551,79.344262295082,4179,1434,11.8580997271149,5739,2139,27.1515613099772,county2010,1,9.52199581032184,0.491,6.22960062565072,6,12,10,16,30,47,44,37,37,28,57.1319748619311,0.00355909386344547,114.263949723862,0.00711818772689093,95.2199581032184,0.00593182310574245,152.35193296515,0.00949091696918791,285.659874309655,0.0177954693172273,447.533803085127,0.0278795685969895,418.967815654161,0.0261000216652668,352.313844981908,0.021947745491247,352.313844981908,0.021947745491247,266.615882689012,0.0166091046960788
51540,26570332.1706114,42240,41037,7947,1871,19.36545069084,4.55930014377269,58.8536393295084,27.1023198011599,4.51841424095182,1.74667437825333,895,64.95683693423,18702,4017,9.23979298447384,20195,3501,14.7746455097907,county2010,2,4.87365060798791,0.505,1544.46695421406,20,50,26,50,77,90,87,82,84,83,48.7365060798791,0.75271923104226,121.841265199698,1.88179807760565,63.3574579038429,0.978535000354938,121.841265199698,1.88179807760565,187.635548407535,2.8979690395127,219.314277359456,3.38723653969017,212.003801447474,3.27432865503383,199.819674927504,3.08614884727326,204.693325535492,3.16142077037749,202.256500231498,3.12378480882538
51510,39492297.0388867,80847,138139,29802,21728,21.5739219192263,15.729084472886,56.7315883787198,7.78602976766699,3.80019147378499,2.03018607424143,1330,77.9566497515996,34043,12806,9.14936484574825,91856,9172,9.07867125945283,county2010,5,3.61954263459269,0.458,3497.87199929088,37,75,38,70,113,125,116,113,113,124,26.7846154959859,0.936891565551818,54.2931395188904,1.8991045247672,27.5085240229045,0.962212959215381,50.6735968842977,1.77249755644939,81.8016635417949,2.86131748398258,90.4885658648173,3.16517420794533,83.9733891225505,2.93728166497327,81.8016635417949,2.86131748398258,81.8016635417949,2.86131748398258,89.7646573378988,3.13985281428177
51530,17586099.136966,39955,6250,313,78,5.008,1.248,33.9223972339608,20.6223306894448,8.05388363427916,2.30226513182325,625,76.2601871415635,2372,1068,16.0601503759399,3106,1162,27.2258669165886,county2010,2,32,0.398,355.394334543611,2,8,9,14,20,25,26,25,25,21,32,0.113726187053956,128,0.454904748215822,144,0.5117678417428,224,0.796083309377689,320,1.13726187053956,400,1.42157733817444,416,1.47844043170142,400,1.42157733817444,400,1.42157733817444,336,1.19412496406653
51600,16254518.7984507,97900,22044,999,3412,4.53184540010887,15.4781346398113,29.0403737869893,5.035702618192,4.64042759961127,1.98263725950258,1484,83.3739930955121,6857,3088,13.6849102592511,14436,1067,6.88253886344578,county2010,1,4.53638178189076,0.381,1356.17672066067,9,19,14,20,33,30,32,29,29,34,40.8274360370169,0.553692183176647,86.1912538559245,1.16890572003959,63.5093449464707,0.861298951608117,90.7276356378153,1.23042707372588,149.700598802395,2.0302046716477,136.091453456723,1.84564061058882,145.164217020504,1.96868331796141,131.555071674832,1.78411925690253,131.555071674832,1.78411925690253,154.236980584286,2.091726025334
