GEOID,tarea,n_medincome,n_pop_total,n_pop_black,n_pop_hisp,p_pct_black,p_pct_hisp,p_renter,p_poverty,p_unemp,p_overcrowding,n_med_rent,p_mobility,n_pop_25,n_pop_65p,p_pct_65p,n_edu_yes_hs,n_edu_no_hs,p_edu_no_hs,name,n_commhlthcntr,r_commhlthcntr_100k,i_gini
02013,18214706339.6693,54375,1415,15,50,1.0600706713780919,3.5335689045936394,48.4629294755877,10.419485791610285,3.4397273008986673,2.6217228464419478,731,60.700706137968496,669,155,4.934734161095193,1935,1082,35.86344050381173,county2010,6,424.02826855123675,0.399
02016,11406703201.0805,72917,3018,24,203,0.7952286282306164,6.726308813783963,67.73927392739274,12.56140350877193,1.9042437431991295,9.78886756238004,1172,69.02313624678663,1241,193,3.4705988131631003,3559,1499,29.636219849742982,county2010,6,198.80715705765408,0.381
28107,1826282563.21487,34030,34392,16686,413,48.51709699930216,1.2008606652709932,26.22478386167147,29.06042008816665,12.080354102826012,6.206896551724138,620,89.08414609143894,12596,4411,12.709251735961045,15981,6079,27.55666364460562,county2010,1,2.907652942544778,0.446
28101,1501162126.39031,36154,21120,6285,243,29.758522727272727,1.1505681818181819,21.572924275626978,16.97794507987066,6.136125654450262,3.517336337464013,537,86.40776699029125,7789,3233,14.884898710865562,11241,2581,18.67312979308349,county2010,1,4.734848484848484,0.407
28027,1510357779.74455,24726,25484,19237,285,75.48657981478574,1.11834876785434,44.477327978015005,35.533632970214065,15.969303855289603,3.2296011121805153,545,85.6595615565501,10518,3186,12.183090512791098,11733,4077,25.787476280834916,county2010,7,27.46821535080835,0.548
22065,1685822355.41031,26441,10502,6281,143,59.8076556846315,1.3616454008760237,38.608695652173914,33.55478528788754,13.6270257931979,4.983639567077775,551,79.34426229508198,4179,1434,11.85809972711486,5739,2139,27.15156130997715,county2010,1,9.521995810321844,0.491
51540,26570332.1706114,42240,41037,7947,1871,19.365450690839975,4.559300143772693,58.853639329508376,27.1023198011599,4.518414240951818,1.7466743782533256,895,64.95683693422998,18702,4017,9.239792984473835,20195,3501,14.774645509790682,county2010,2,4.873650607987913,0.505
51510,39492297.0388867,80847,138139,29802,21728,21.573921919226287,15.729084472886006,56.73158837871978,7.78602976766699,3.8001914737849862,2.030186074241426,1330,77.95664975159957,34043,12806,9.149364845748254,91856,9172,9.078671259452825,county2010,5,3.6195426345926927,0.458
51530,17586099.136966,39955,6250,313,78,5.008,1.248,33.922397233960815,20.622330689444784,8.053883634279163,2.3022651318232454,625,76.26018714156353,2372,1068,16.06015037593985,3106,1162,27.225866916588565,county2010,2,32,0.398
51600,16254518.7984507,97900,22044,999,3412,4.531845400108873,15.478134639811287,29.04037378698934,5.035702618192,4.640427599611273,1.982637259502581,1484,83.37399309551208,6857,3088,13.684910259251053,14436,1067,6.8825388634457845,county2010,1,4.536381781890764,0.381
48113,2353299105.09484,47974,2337741,518247,884744,22.16870902294138,37.846108700664445,46.756740969204166,17.60215805862265,7.784460474428098,6.056033447066174,831,80.92805784695099,890526,207972,8.782085848845865,1103425,339205,23.512958970768665,county2010,30,1.283290150619765,0.492
48227,2341880411.31279,39574,28932,1137,10497,3.9299046038987973,36.281625881377025,32.321538868790256,17.741087390892837,7.498110355253212,2.454873646209386,618,74.64684014869889,11525,4615,13.18119501885068,16785,6916,29.180203366946543,county2010,1,3.4563804783630583,0.437
48155,1832893477.64827,30417,1306,51,174,3.9050535987748853,13.32312404287902,22.862129144851657,23.35285505124451,12.269129287598945,0.8880994671403197,407,86.87454677302394,374,319,23.877245508982035,730,233,24.19522326064382,county2010,0,0,0.458
48153,2570621108.491,35240,6411,235,3368,3.6655747933239744,52.534705974107005,26.519567027477102,23.826166236134327,3.473318598042311,6.776416539050536,543,83.93237892171794,2329,1145,17.76295376977971,3144,1072,25.426944971537,county2010,0,0,0.417
48043,16037936551.7207,35799,9157,92,3737,1.0046958610898766,40.81030905318336,39.31542666983599,16.537053979871914,5.486024196912807,2.2645145748012525,539,76.27442173815405,2753,1531,16.58362218370884,4851,1194,19.751861042183624,county2010,3,32.76182155727859,0.49
48159,763445059.904359,45625,10491,398,1295,3.7937279572967304,12.343913830902679,24.57321471507574,14.84182610342868,10.5870236869207,4.258168184252812,624,85.83499477831576,3433,1981,18.67986798679868,5688,1193,17.337596279610523,county2010,0,0,0.486
48231,2284429221.79721,43101,84260,6718,10752,7.972940897222881,12.760503204367435,30.592966704077817,19.165912038963263,8.62962962962963,3.685301569543615,696,82.71214741487269,30021,12001,13.93375053698522,44001,10978,19.967624001891632,county2010,6,7.120816520294327,0.453
48351,2433884540.53771,37452,13721,2547,240,18.56278696887982,1.7491436484221268,16.252739225712197,16.236403190717912,10.581049851436118,4.085979860573199,420,88.58331570411113,4607,2342,16.213222568362756,7686,2201,22.261555578031757,county2010,0,0,0.46
48427,3183366065.36506,24441,60158,48,57636,0.07978988663186941,95.8077063732172,22.016351979295333,38.045360547420096,9.689254298722538,11.43939880531826,454,90.48769696763435,27273,6285,10.308686524078205,15725,17101,52.095899591786996,county2010,3,4.986867914491838,0.519
48271,3535650434.36793,24388,3266,48,1662,1.4696876913655847,50.88793631353337,22,32.225138524351124,15.343915343915343,3.739130434782609,495,82.62603246938194,1010,874,24.291272929405224,1877,614,24.6487354476114,county2010,1,30.61849357011635,0.452
48087,2381029957.65673,39712,3005,143,833,4.758735440931781,27.72046589018303,22.22222222222222,20.80425390495181,3.592814371257485,2.525252525252525,502,90.06464783940116,1067,546,17.86064769381747,1392,484,25.79957356076759,county2010,0,0,0.496
48451,3989994663.45151,41398,105059,3793,36541,3.6103522782436537,34.78140854186695,34.891686943374836,16.76769442987313,6.0835210411527045,2.956781786610071,655,76.68897326967179,41202,15265,13.849070982726085,54564,12644,18.81323651946197,county2010,6,5.711076633129956,0.445
48083,3318896848.9358,26951,8855,189,1285,2.1343873517786562,14.511575381140599,27.37879180710397,29.431438127090303,4.986400725294651,0.48377916903813317,449,91.85859051128512,2546,1934,21.742551995503092,4689,1340,22.22590811079781,county2010,0,0,0.497
48039,3737511556.83605,65607,302607,34088,80104,11.264775765266501,26.471297755835128,25.4360206025012,10.623458719738807,5.464299052728075,3.705634689541198,821,82.56898082955969,112570,29923,9.55499639169003,161811,30045,15.660182636977733,county2010,15,4.956924327593215,0.416
48289,2798790530.07178,40355,16697,1167,2165,6.989279511289453,12.966401149907169,18.75,16.65843418127933,5.423876690417333,3.6078550768762367,616,87.43852832250623,4874,3615,21.516576394262245,9286,2519,21.338415925455315,county2010,2,11.97819967658861,0.454
48131,4650574165.93764,30493,11204,21,9993,0.18743305962156373,89.19136022848983,22.444987775061126,22.91005291005291,7.833561242430162,3.1899468342194295,533,83.93891079969791,4223,1891,16.049906637243254,4861,2626,35.07412848938159,county2010,1,8.925383791503034,0.467
48279,2635871439.16023,35458,13793,579,7135,4.197781483361125,51.729137968534765,27.652037000590436,17.92161093131967,8.046147019671647,2.872606161532057,590,83.07470227354744,5218,2227,15.93331902411104,6265,2444,28.06292341256172,county2010,0,0,0.42
48343,670031230.97658,38843,12789,2935,902,22.949409648917037,7.052936116975526,24.339839265212397,16.660262814108968,6.861184792219275,1.4811927499512765,498,86.13020310448684,3986,2506,19.375289933508583,7383,1584,17.66477082636333,county2010,0,0,0.444
48423,2459767471.44046,46139,205587,36109,34506,17.56385374561621,16.78413518364488,33.50325722598191,15.37961550961226,7.2309882548345,3.909613094848679,752,80.69059767672687,76353,29851,14.234147457966564,108799,20360,15.76351628612795,county2010,16,7.782593257355766,0.479
48239,2205632356.22288,47483,13858,965,3766,6.96348679463126,27.17563862029153,26.116578349735047,11.655466435436086,5.309861170745671,5.0894632206759445,602,86.64677630621452,4693,2313,16.433392539964476,7113,2104,22.82738418140393,county2010,0,0,0.457
48325,3456425900.47877,49138,43697,335,20751,0.7666430189715541,47.48838593038424,21.159047005795234,15.850117096018735,8.58345715700842,4.514762346087648,645,88.15283491325344,16097,6210,13.498239360083467,22703,6276,21.65706201042134,county2010,3,6.865459871387052,0.422
48483,2371084955.52893,42909,5364,118,1306,2.1998508575689786,24.34750186428039,23.42961944062357,13.900736719658783,4.663422546634226,1.3724562233790818,587,84.1858648965248,1755,995,18.391866913123845,2777,722,20.634466990568733,county2010,0,0,0.513
48111,3898602175.47382,47073,6664,89,2630,1.3355342136854742,39.46578631452581,39.705882352941174,12.515547263681592,3.709810387469085,4.2711234911792015,672,82.1265183782931,2632,629,9.383857974041474,2700,1063,28.248737709274515,county2010,0,0,0.396
48059,2334262139.255,44596,13469,120,827,0.890934739030366,6.140025243150939,21.29612630805948,13.901781703847881,5.268901013250195,1.5585427625170465,660,86.57041882848334,4141,2465,18.199940933254577,7960,1264,13.70338248048569,county2010,4,29.697824634345533,0.423
